timestamp,service,level,error_type,message,stack_trace,context,user_id
2025-07-11T15:38:30.508477,deployment,ERROR,deployment_error,Deployment failed: 'bool' object is not callable,,,
2025-07-11T15:39:08.746457,deployment,ERROR,test_failure,"Agent tests failed: Traceback (most recent call last):
  File ""/Users/hessam/voxietactics/streamlit-mcp/tests/test_agents.py"", line 15, in <module>
    from utils.logger import VoxiesLogger
ModuleNotFoundError: No module named 'utils.logger'
",,,
2025-07-11T15:46:24.396250,deployment,ERROR,test_failure,"Agent tests failed: Traceback (most recent call last):
  File ""/Users/hessam/voxietactics/streamlit-mcp/tests/test_agents.py"", line 15, in <module>
    from utils.logger import VoxiesLogger
ModuleNotFoundError: No module named 'utils.logger'
",,,
2025-07-11T15:47:06.416862,deployment,ERROR,test_failure,"Agent tests failed: Traceback (most recent call last):
  File ""/Users/hessam/voxietactics/streamlit-mcp/tests/test_agents.py"", line 18, in <module>
    from utils.logger import VoxiesLogger
ModuleNotFoundError: No module named 'utils.logger'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/hessam/voxietactics/streamlit-mcp/tests/test_agents.py"", line 26, in <module>
    from utils.logger import VoxiesLogger
ModuleNotFoundError: No module named 'utils.logger'
",,,
2025-07-11T15:48:07.529813,deployment,ERROR,test_failure,"Agent tests failed: Traceback (most recent call last):
  File ""/Users/hessam/voxietactics/streamlit-mcp/tests/test_agents.py"", line 18, in <module>
    from utils.logger import VoxiesLogger
ModuleNotFoundError: No module named 'utils.logger'
",,,
2025-07-11T15:49:48.548277,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T16:08:29.331264,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T16:11:37.285960,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T16:11:37.286651,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:11:37.287236,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:12:07.294052,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:12:07.294204,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T16:24:23.863111,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T16:24:23.867874,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:24:23.876878,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:24:53.882971,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:24:53.883052,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T16:33:53.042956,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T16:33:53.043520,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:33:53.043876,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:34:23.049524,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:34:23.049584,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T16:53:39.384421,deployment,ERROR,startup_error,Streamlit service failed to start,,,
2025-07-11T16:54:08.899968,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T16:54:08.904010,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:54:08.905547,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:54:38.911979,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T16:54:38.912310,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T17:18:37.236977,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:18:37.237499,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:18:37.238094,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:19:01.088871,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:19:01.089675,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:19:01.090559,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:19:07.243371,deployment,ERROR,service_failure,❌ streamlit has stopped,,,
2025-07-11T17:19:07.243422,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:19:07.243710,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T17:20:34.574863,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:20:34.575934,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:20:34.576729,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:21:04.583820,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:21:04.583908,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T17:25:06.330670,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:25:06.331237,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:25:06.332030,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:25:36.337792,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:25:36.338157,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T17:26:15.860669,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:26:15.861222,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:26:15.861578,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:26:45.869845,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:26:45.870644,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T17:28:23.589348,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:28:23.590323,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:28:23.591049,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:28:53.598180,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:28:53.598338,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T17:33:25.043503,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T17:33:25.045087,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:33:25.045953,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:33:55.048257,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T17:33:55.048342,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:10:21.185730,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T21:10:21.187616,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:10:21.188984,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:10:51.197717,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:10:51.197836,deployment,ERROR,service_monitoring,Service failure detected,,,
2025-07-11T21:13:40.131228,deployment,ERROR,startup_error,Slack bot service failed to start,,,
2025-07-11T21:13:40.133354,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:13:40.134740,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
2025-07-11T21:14:10.141533,deployment,ERROR,service_failure,❌ slack_bot has stopped,,,
