timestamp,service,level,operation,status,message,details,user_id,session_id
2025-07-11T15:38:19.492088,deployment,INFO,info,success,Initializing Voxies Deployer,"Debug: True, Tests: True",,
2025-07-11T15:38:19.492146,deployment,INFO,info,success,Starting Voxies deployment,,,
2025-07-11T15:38:19.492172,deployment,INFO,info,success,Checking prerequisites,,,
2025-07-11T15:38:19.492213,deployment,INFO,info,success,✅ All prerequisites met,,,
2025-07-11T15:38:19.492235,deployment,INFO,info,success,Installing dependencies,,,
2025-07-11T15:38:19.492256,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install pytest pytest-asyncio,Working directory: None,,
2025-07-11T15:38:20.666533,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:38:20.666678,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r agents/requirements.txt,Working directory: None,,
2025-07-11T15:38:21.369852,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:38:21.374299,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r client/requirements.txt,Working directory: None,,
2025-07-11T15:38:30.006185,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:38:30.006312,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r slack_bot/requirements.txt,Working directory: None,,
2025-07-11T15:38:30.507994,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:38:30.508115,deployment,INFO,info,success,✅ All dependencies installed,,,
2025-07-11T15:39:05.285674,deployment,INFO,info,success,Initializing Voxies Deployer,"Debug: True, Tests: True",,
2025-07-11T15:39:05.285810,deployment,INFO,info,success,Starting Voxies deployment,,,
2025-07-11T15:39:05.286085,deployment,INFO,info,success,Checking prerequisites,,,
2025-07-11T15:39:05.286141,deployment,INFO,info,success,✅ All prerequisites met,,,
2025-07-11T15:39:05.286167,deployment,INFO,info,success,Installing dependencies,,,
2025-07-11T15:39:05.286201,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install pytest pytest-asyncio,Working directory: None,,
2025-07-11T15:39:05.771781,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:39:05.771961,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r agents/requirements.txt,Working directory: None,,
2025-07-11T15:39:06.319036,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:39:06.319181,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r client/requirements.txt,Working directory: None,,
2025-07-11T15:39:06.994449,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:39:06.994571,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r slack_bot/requirements.txt,Working directory: None,,
2025-07-11T15:39:07.495045,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:39:07.495173,deployment,INFO,info,success,✅ All dependencies installed,,,
2025-07-11T15:39:07.495533,deployment,INFO,info,success,Running test suite,,,
2025-07-11T15:39:07.495587,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 tests/test_agents.py,Working directory: None,,
2025-07-11T15:39:08.746280,deployment,DEBUG,debug,info,Command completed with exit code: 1,,,
2025-07-11T15:46:21.146239,deployment,INFO,info,success,Initializing Voxies Deployer,"Debug: True, Tests: True",,
2025-07-11T15:46:21.146446,deployment,INFO,info,success,Starting Voxies deployment,,,
2025-07-11T15:46:21.146774,deployment,INFO,info,success,Checking prerequisites,,,
2025-07-11T15:46:21.146885,deployment,INFO,info,success,✅ All prerequisites met,,,
2025-07-11T15:46:21.146966,deployment,INFO,info,success,Installing dependencies,,,
2025-07-11T15:46:21.147016,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install pytest pytest-asyncio,Working directory: None,,
2025-07-11T15:46:21.657667,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:46:21.657820,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r agents/requirements.txt,Working directory: None,,
2025-07-11T15:46:22.194345,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:46:22.194482,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r client/requirements.txt,Working directory: None,,
2025-07-11T15:46:22.824259,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:46:22.824395,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r slack_bot/requirements.txt,Working directory: None,,
2025-07-11T15:46:23.324670,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:46:23.324799,deployment,INFO,info,success,✅ All dependencies installed,,,
2025-07-11T15:46:23.324862,deployment,INFO,info,success,Running test suite,,,
2025-07-11T15:46:23.324922,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 tests/test_agents.py,Working directory: None,,
2025-07-11T15:46:24.396092,deployment,DEBUG,debug,info,Command completed with exit code: 1,,,
2025-07-11T15:47:03.160827,deployment,INFO,info,success,Initializing Voxies Deployer,"Debug: True, Tests: True",,
2025-07-11T15:47:03.160958,deployment,INFO,info,success,Starting Voxies deployment,,,
2025-07-11T15:47:03.161282,deployment,INFO,info,success,Checking prerequisites,,,
2025-07-11T15:47:03.161374,deployment,INFO,info,success,✅ All prerequisites met,,,
2025-07-11T15:47:03.161409,deployment,INFO,info,success,Installing dependencies,,,
2025-07-11T15:47:03.161518,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install pytest pytest-asyncio,Working directory: None,,
2025-07-11T15:47:03.635351,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:47:03.635487,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r agents/requirements.txt,Working directory: None,,
2025-07-11T15:47:04.158219,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
2025-07-11T15:47:04.158358,deployment,DEBUG,debug,info,Running command: /opt/homebrew/opt/python@3.11/bin/python3.11 -m pip install -r client/requirements.txt,Working directory: None,,
2025-07-11T15:47:04.791955,deployment,DEBUG,debug,info,Command completed with exit code: 0,,,
